Orthogroups	Stevens
111131at33392	H
111309at33392	D
111339at33392	G
111388at33392	C
111489at33392	B
111586at33392	C
111627at33392	A
111636at33392	C
111643at33392	B
111698at33392	LG10
111698at33392	E
111743at33392	H
111795at33392	D
111826at33392	G
111923at33392	E
112170at33392	G
112177at33392	F
112231at33392	F
112413at33392	LG10
112445at33392	D
112480at33392	C
112518at33392	D
112578at33392	D
112583at33392	H
112634at33392	E
112758at33392	C
112770at33392	A
113078at33392	G
113111at33392	G
113125at33392	B
113191at33392	E
113238at33392	A
113339at33392	F
113382at33392	C
113414at33392	G
113544at33392	B
113587at33392	D
113622at33392	D
113709at33392	D
113714at33392	C
113733at33392	A
113834at33392	F
113913at33392	H
114084at33392	H
114097at33392	H
114147at33392	X
114162at33392	B
114208at33392	D
114240at33392	E
114318at33392	C
114375at33392	E
114378at33392	E
114384at33392	G
114441at33392	B
114442at33392	B
114519at33392	C
114592at33392	B
114647at33392	F
114661at33392	B
114758at33392	G
114840at33392	E
114861at33392	F
114867at33392	F
115128at33392	B
115130at33392	H
115290at33392	A
115471at33392	D
115498at33392	C
115508at33392	C
115863at33392	A
115878at33392	C
115954at33392	C
116042at33392	F
116059at33392	LG10
116105at33392	D
116109at33392	H
116127at33392	C
116133at33392	B
116386at33392	D
116442at33392	C
116475at33392	B
116539at33392	B
116590at33392	D
116700at33392	B
116914at33392	E
116917at33392	F
116926at33392	A
116977at33392	LG10
117019at33392	X
117085at33392	F
117189at33392	B
117259at33392	F
117382at33392	G
117470at33392	F
117556at33392	B
117589at33392	B
117672at33392	D
117767at33392	C
117818at33392	B
117853at33392	E
117933at33392	C
118053at33392	D
118098at33392	D
118220at33392	C
118238at33392	F
118354at33392	A
118386at33392	H
118456at33392	B
118652at33392	A
118788at33392	B
118819at33392	F
118882at33392	A
118979at33392	A
119022at33392	D
119037at33392	G
119111at33392	C
119147at33392	E
119153at33392	C
119291at33392	A
119314at33392	A
119483at33392	LG10
119522at33392	H
119531at33392	B
119654at33392	D
119661at33392	A
119672at33392	D
119717at33392	E
119742at33392	G
119767at33392	LG10
119904at33392	F
119912at33392	LG10
119925at33392	H
120045at33392	G
120068at33392	C
120195at33392	X
120253at33392	B
120285at33392	A
120524at33392	B
120605at33392	F
120644at33392	A
120654at33392	LG10
120762at33392	F
120779at33392	A
120842at33392	A
120921at33392	A
120935at33392	A
120943at33392	C
120965at33392	A
121019at33392	E
121020at33392	G
121058at33392	X
121100at33392	G
121107at33392	F
121115at33392	B
121236at33392	G
121373at33392	D
121537at33392	H
121635at33392	E
121696at33392	C
122049at33392	B
122075at33392	C
122088at33392	E
122095at33392	A
122190at33392	A
122199at33392	D
122321at33392	D
122365at33392	C
122378at33392	H
122388at33392	G
122539at33392	D
122594at33392	A
122669at33392	D
122707at33392	B
122872at33392	G
122962at33392	LG10
122988at33392	D
122992at33392	X
123317at33392	F
123330at33392	F
123372at33392	E
123429at33392	A
123586at33392	E
123659at33392	LG10
123699at33392	A
123708at33392	E
123921at33392	LG10
124034at33392	D
124051at33392	D
124129at33392	F
124179at33392	C
124241at33392	E
124373at33392	F
124487at33392	C
124625at33392	F
124767at33392	G
124879at33392	C
125147at33392	X
125174at33392	E
125182at33392	LG10
125182at33392	F
125301at33392	D
125338at33392	H
125375at33392	B
125459at33392	A
125476at33392	E
125535at33392	LG10
125541at33392	E
125601at33392	F
125628at33392	E
125684at33392	G
125704at33392	A
125815at33392	A
125824at33392	A
125834at33392	G
125859at33392	C
126036at33392	B
126085at33392	B
126103at33392	A
126252at33392	F
126318at33392	A
126346at33392	B
126496at33392	E
126504at33392	F
126701at33392	E
126781at33392	E
126952at33392	F
126988at33392	G
127030at33392	H
127116at33392	B
127210at33392	F
127343at33392	G
127442at33392	H
127850at33392	E
127868at33392	C
127931at33392	B
127931at33392	F
127989at33392	C
128088at33392	D
128253at33392	E
128420at33392	A
128591at33392	F
128631at33392	F
128656at33392	D
128684at33392	B
128695at33392	E
128778at33392	B
128962at33392	F
128994at33392	D
128995at33392	C
129029at33392	F
129072at33392	D
129158at33392	F
129179at33392	A
129444at33392	C
129517at33392	H
129575at33392	D
129577at33392	A
129598at33392	B
129688at33392	A
129905at33392	E
130013at33392	F
130255at33392	C
130297at33392	LG10
130387at33392	E
130447at33392	H
130502at33392	D
130667at33392	F
130720at33392	D
130724at33392	F
130770at33392	A
130924at33392	G
130949at33392	A
131097at33392	D
131190at33392	C
131369at33392	F
131653at33392	E
131765at33392	E
131785at33392	D
131854at33392	B
131864at33392	D
131879at33392	F
131893at33392	C
131936at33392	A
131941at33392	A
132164at33392	C
132286at33392	B
132641at33392	F
132670at33392	E
132714at33392	B
132718at33392	A
133508at33392	F
133526at33392	C
133554at33392	F
133651at33392	A
133808at33392	B
133879at33392	H
133986at33392	A
134030at33392	F
134292at33392	C
134501at33392	C
134899at33392	B
135025at33392	D
135312at33392	H
135764at33392	C
135985at33392	G
136832at33392	X
137542at33392	B
